ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
461,FALSE,TRUE,TRUE,,Missing18,727,18,AMS,-25.62,NA,Charred Seed,炭化種実(イネ･胚乳),carbonized seed/nuts rice (Oryza sativa),"分析番号:22　S93
Code №:10493-3",海舞寺遺跡,Kaimaijiiseki,延岡市北浦町古江字海舞寺,32.70021944,131.8075306,Miyazaki,Kyushu,Rekihaku 14C Database,2010,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境〜北川間)建設に伴う埋蔵文化財発掘調査報告書1,Missing Lab Code,Yes
462,FALSE,TRUE,TRUE,,Missing19,768,17,AMS,-25.43,NA,Charred Seed,炭化種実(イネ･胚乳),carbonized seed/nuts rice (Oryza sativa),"分析番号:26　S110
Code №:10493-4 ",海舞寺遺跡,Kaimaijiiseki,延岡市北浦町古江字海舞寺,32.70021944,131.8075306,Miyazaki,Kyushu,Rekihaku 14C Database,2010,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境〜北川間)建設に伴う埋蔵文化財発掘調査報告書1,Missing Lab Code,Yes
463,FALSE,TRUE,TRUE,,Missing20,1726,19,AMS,-25.62,NA,Charred Seed,炭化種実(イネ･胚乳),carbonized seed/nuts rice (Oryza sativa),"分析番号:171　SA4土器中
Code №:10493-15",森ノ上遺跡,Morinoeiseki,延岡市北浦町古江字森ノ上･松ノ木,32.70021944,131.8075306,Miyazaki,Kyushu,Rekihaku 14C Database,2010,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境〜北川間)建設に伴う埋蔵文化財発掘調査報告書1,Missing Lab Code,Yes
464,FALSE,TRUE,TRUE,,Missing21,265,20,AMS,NA,NA,Charred Seed,炭化種実(炭化米),carbonized seed/nuts rice (Oryza sativa),18号土坑,穆佐城跡,Mukasajoato,宮崎市高岡町小山田926､925-4,31.93323889,131.3235806,Miyazaki,Kyushu,Rekihaku 14C Database,2010,宮崎市文化財調査報告書　第79集　史跡穆佐城跡　　穆佐城跡保存整備に伴う埋蔵文化財発掘調査報告書(Ⅳ),Missing Lab Code,Yes
465,FALSE,TRUE,TRUE,,Missing22,650,20,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),長者山調査区･礎石建築址,鞠智城跡,Kikuchijoato,鹿本郡菊鹿町･菊池市,33.02808056,130.7596694,Kumamoto,Kyushu,Rekihaku 14C Database,1991,熊本県文化財調査報告　第116集　鞠智城跡,Missing Lab Code;Updated coordinate and changed site name,Yes
466,FALSE,TRUE,TRUE,,IAAA-170355,2695,21,,-23.01,,Charred Seed,炭化米,carbonized rice (Oryza sativa),F-8-c 区 層位：Xa-10-17,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
467,FALSE,TRUE,TRUE,,IAAA-170356,2640,22,,-25.92,,Charred Seed,炭化米,carbonized rice (Oryza sativa),G-8-c・G-9-d 区 層位：Xa-9-67・Xa-9-70,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
468,FALSE,TRUE,TRUE,,IAAA-170357,2709,22,,-21.08,,Charred Seed,炭化米,carbonized rice (Oryza sativa),F-8-c・d ？区 層位 IXa-4-17,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
469,FALSE,TRUE,TRUE,,IAAA-171860,2681,22,,-22.55,,Charred Seed,炭化米,carbonized rice (Oryza sativa),F-8-d 区 層 Ⅸ a-3層,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
470,FALSE,TRUE,TRUE,,IAAA-201348,2710,24,,-25.29,,Charred Seed,炭化米,carbonized rice (Oryza sativa),F-8c 層位：Xa-10-17層（no.1）,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
471,FALSE,TRUE,TRUE,,IAAA-201349,2592,22,,-25.87,,Charred Seed,炭化米,carbonized rice (Oryza sativa),F-8cd 層位：IXa-4-9層（no.1）,宇木汲田貝塚,Ukikundenkaizuka,,33.411,130.0087,Saga,Kyushu,Miyamoto 2021,2021,http://doi.org/10.24484/sitereports.90408,,
472,FALSE,TRUE,TRUE,,Poz-115541,2420,30,,,,Charred Seed,,carbonized rice (Oryza sativa),SK138,力石条里遺跡群,Chikaraishijoriisekigun,,36.46926111,138.1443806,Nagano,Chubu,Leipe et al 2020,2020,10.1016/j.quascirev.2020.106507,,
473,FALSE,TRUE,TRUE,,Poz-115543,2370,30,,,,Charred Seed,,carbonized rice (Oryza sativa),SK1405,力石条里遺跡群,Chikaraishijoriisekigun,,36.46926111,138.1443806,Nagano,Chubu,Leipe et al 2020,2020,10.1016/j.quascirev.2020.106507,,
474,FALSE,TRUE,TRUE,,Poz-115542,2190,30,,,,Charred Seed,,carbonized rice (Oryza sativa),SK1405,力石条里遺跡群,Chikaraishijoriisekigun,,36.46926111,138.1443806,Nagano,Chubu,Leipe et al 2020,2020,10.1016/j.quascirev.2020.106507,,
475,FALSE,TRUE,TRUE,,NUTA2-13612,366,20,AMS,-27,,Charred Seed,イネ,carbonized rice (Oryza sativa),,新府城跡,Shinpujoato,,35.735833,138.425278,Yamanashi,Chubu,Leipe et al 2020; Nakamura et al 2010,2010,https://nagoya.repo.nii.ac.jp/record/12868/files/21-24.pdf,,
476,FALSE,TRUE,TRUE,,NUTA2-13610,365,21,AMS,-28,,Charred Seed,イネ,carbonized rice (Oryza sativa),,新府城跡,Shinpujoato,,35.735833,138.425278,Yamanashi,Chubu,Leipe et al 2020; Nakamura et al 2010,2010,https://nagoya.repo.nii.ac.jp/record/12868/files/21-24.pdf,,
477,FALSE,TRUE,TRUE,,NUTA2-13611,333,21,AMS,-27,,Charred Seed,イネ,carbonized rice (Oryza sativa),,新府城跡,Shinpujoato,,35.735833,138.425278,Yamanashi,Chubu,Leipe et al 2020; Nakamura et al 2010,2010,https://nagoya.repo.nii.ac.jp/record/12868/files/21-24.pdf,,
478,FALSE,TRUE,TRUE,,Poz-113871,2100,30,,,,Charred Seed,,carbonized rice (Oryza sativa),F-04a/HE-04a,前中西遺跡,Maenakanishi,,36.15,139.4,Saitama,Kanto,Leipe et al 2021,2021,https://doi.org/10.1007/s00334-020-00791-1,,
479,FALSE,TRUE,TRUE,,"NUTA2-21,202",2007,50,,,,Charred Seed,,carbonized rice (Oryza sativa),F-01a /HE-01a,前中西遺跡,Maenakanishi,,36.15,139.4,Saitama,Kanto,Leipe et al 2021,2021,https://doi.org/10.1007/s00334-020-00791-1,,
480,FALSE,TRUE,TRUE,,"NUTA2-21,204",2120,40,,,,Charred Seed,,carbonized rice (Oryza sativa),F-09/HE-09,前中西遺跡,Maenakanishi,,36.15,139.4,Saitama,Kanto,Leipe et al 2021,2021,https://doi.org/10.1007/s00334-020-00791-1,,
481,FALSE,TRUE,TRUE,,"NUTA2-21,206",1981,90,,,,Charred Seed,,carbonized rice (Oryza sativa),F-06/HE-06,前中西遺跡,Maenakanishi,,36.15,139.4,Saitama,Kanto,Leipe et al 2021,2021,https://doi.org/10.1007/s00334-020-00791-1,,
482,FALSE,TRUE,TRUE,,MTC-17432,2090,30,AMS,-25.5,,Charred Seed,,carbonized rice (Oryza sativa),,岩崎遺跡群,Iwasakiisekigun,,33.222,130.546,Fukuoka,Kyushu,Shitara et al 2015,2015,https://doi.org/10.15083/00027590,,
483,FALSE,TRUE,TRUE,,Missing23,2395,30,AMS,,,Charred Seed,イネ炭化胚乳,carbonized rice (Oryza sativa),土坑２２,中屋敷遺跡,Nakayashikiiseki,足柄上郡大井町山田中屋敷,35.3347463,139.1673167,Kanagawa,Kanto,Yamamoto and Koizumi 2005,2005,https://doi.org/10.11215/nihonkokogaku1994.12.20_135,Missing Lab Code,Yes
484,FALSE,TRUE,TRUE,,Missing24,2320,30,AMS,,,Charred Seed,イネ炭化胚乳,carbonized rice (Oryza sativa),土坑２２,中屋敷遺跡,Nakayashikiiseki,足柄上郡大井町山田中屋敷,35.3347463,139.1673167,Kanagawa,Kanto,Yamamoto and Koizumi 2005,2005,https://doi.org/10.11215/nihonkokogaku1994.12.20_135,Missing Lab Code,Yes
485,FALSE,TRUE,TRUE,,PLD-7201,560,22,AMS,-26.53,,Charred Seed,炭化米,carbonized rice (Oryza sativa),SKI1810,払田柵跡,Hottasakuato,秋田県大仙市払田字真山,39.468,140.549,Akita,Tohoku,Nabunken,2007,http://doi.org/10.24484/sitereports.11964,,
486,FALSE,TRUE,TRUE,,PED-8085,2107,20,AMS,,,Charred Seed,炭化米,carbonized rice (Oryza sativa),SL1,諸麦遺跡,Moromugiiseki,都城市平塚町2937,31.71245,131.0228,Miyazaki,Kyushu,宮崎県埋蔵文化財センター発掘調査報告書　第168集　諸麦遺跡　一般国道10号都城道路建設に伴う埋蔵文化財発掘調査報告書2 宮崎県埋蔵文化財センター,2008,,,
487,FALSE,TRUE,TRUE,,PLD-31493,2127,20,AMS,-26.46,,Charred Seed,炭化米,carbonized rice (Oryza sativa),No.KYUS1,御供田遺跡,Gokudeniseki,春日市春日公園6丁目,33.523333,130.476944,Fukuoka,Kyushu,九州大学埋蔵文化財調査室 2021 『九州大学筑紫キャンパス遺跡群（御供田遺跡）総括報告書2－古墳時代・古代・中世編－』九州大学埋蔵文化財調査室報告6,2021,http://doi.org/10.24484/sitereports.90369,,
488,FALSE,TRUE,TRUE,,IAAA-180836,320,20,AMS,,-25.72,Charred Seed,炭化米,carbonized rice (Oryza sativa),遺構：溝跡2　床面 遺構：溝跡2　床面直上,忍館城跡,Shinobu tate shiroato,宮城県仙台市青葉区本町三丁目8-1,38.914722,141.590833,"Miyagi


",Tohoku,https://sitereports.nabunken.go.jp//files/attach/36/36031/70402_1_小屋館城跡・忍館城跡.pdf,2020,宮城県教育委員会 2020 『宮城県文化財調査報告書253：小屋館城跡・忍館城跡』宮城県教育委員会,,
489,FALSE,TRUE,TRUE,,PLD-36603,1824,18,AMS,,-25.14,Charred Seed,炭化米,carbonized rice (Oryza sativa),"SR301_稲束, 調査区:1区i, 試料№35, 層位:29層",小ブケ遺跡 第３次,Kobukeiseki (3rd stage),三重県多気郡明和町竹川503,34.760833,136.466944,Mie,Kansai,https://sitereports.nabunken.go.jp//files/attach/33/33803/54357_1_小ブケ遺跡第３次発掘調査報告.pdf,2019,三重県埋蔵文化財センター 2019 『三重県埋蔵文化財調査報告383：小ブケ遺跡（第３次）発掘調査報告』三重県埋蔵文化財センター,,
490,FALSE,TRUE,TRUE,,PLD-37857,1926,21,AMS,,-25.06,Charred Seed,イネ炭化種子,carbonized rice (Oryza sativa),遺物No.1（H29年度）,天王山遺跡,Tennoyamaiseki,福島県白河市八幡小路7-1,37.1281,140.2536,Fukushima,Tohoku,https://sitereports.nabunken.go.jp//files/attach/42/42732/94677_1_天王山遺跡.pdf,2021,白河市 2021 『天王山遺跡』白河市埋蔵文化財調査報告書第84集,,
491,FALSE,TRUE,TRUE,,PLD-37859,1230,21,AMS,,-23.48,Charred Seed,イネ炭化種子,carbonized rice (Oryza sativa),遺物No.31（S25年度）,天王山遺跡,Tennoyamaiseki,福島県白河市八幡小路7-1,37.1281,140.2536,Fukushima,Tohoku,https://sitereports.nabunken.go.jp//files/attach/42/42732/94677_1_天王山遺跡.pdf,2021,白河市 2021 『天王山遺跡』白河市埋蔵文化財調査報告書第84集,,
492,FALSE,TRUE,TRUE,,Beta-420403,2080,30,AMS,,,Charred Seed,炭化米,carbonized rice (Oryza sativa),13 地区 E5-10-1K ZS-YSZ1-Sの1炭 / carbonized rice (ISYZ-S1) E5-10-1K overburden in District 13,八日市地方遺跡,Yokaichijikataiseki,石川県小松市原町ト77-8,36.401666,136.456388,Ishikawa,Chubu,https://sitereports.nabunken.go.jp//files/attach/34/34134/62771_1_八日市地方遺跡V.pdf,2019,小松市埋蔵文化財センター 2019 『八日市地方遺跡 V5』小松市埋蔵文化財センター,,
493,FALSE,TRUE,TRUE,,Beta-420404,2250,30,AMS,,,Charred Seed,炭化米,carbonized rice (Oryza sativa),"26 地区 E6-a; 7 ～ 10 期 ISYZ-S2 の炭 / (ISYZ-S2) carbonized rice excavated from the middle layer of E6-a (buried shallow valley), District 26.",八日市地方遺跡,Yokaichijikataiseki,石川県小松市原町ト77-8,36.401666,136.456388,Ishikawa,Chubu,https://sitereports.nabunken.go.jp//files/attach/34/34134/62771_1_八日市地方遺跡V.pdf,2019,小松市埋蔵文化財センター 2019 『八日市地方遺跡 V5』小松市埋蔵文化財センター,,
494,FALSE,TRUE,TRUE,,YU-7197,824,20,AMS,,-25.56,Charred Seed,イネ胚乳,carbonized rice (Oryza sativa),No.4 石組遺構１号,小牧遺跡,Komaki iseki,鹿児島県霧島市国分上野原縄文の森２番１号,31.445833,130.945277,Kagoshima,Kyushu,https://sitereports.nabunken.go.jp//files/attach/38/38243/72330_1_小牧遺跡１古代～近世以降編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38244/72330_2_小牧遺跡１古代～近世以降編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38245/72330_3_小牧遺跡１古代～近世以降編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38246/72330_4_小牧遺跡１古代～近世以降編.pdf,2019,公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター 2019 『公益財団法人鹿児島県文化振興財団 埋蔵文化財調査センター発掘調査報告書26：小牧遺跡１　古代～近世以降編』公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター,,
495,FALSE,TRUE,TRUE,,YU-10196,1311,20,AMS,,-28.12,Charred Seed,イネ?,carbonized rice (Oryza sativa)?,竪穴建物跡16号SA32 No.5イネ?,春日堀遺跡１,Kasugabori Iseki 1,"Ariakecho-futsuhara148-2, 899-7503 Shibushi City, JP",31.4652,131.036538,Kagoshima,Kyushu,https://sitereports.nabunken.go.jp//files/attach/38/38267/72344_1_春日堀遺跡１縄文時代中期～近世編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38268/72344_2_春日堀遺跡１縄文時代中期～近世編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38269/72344_3_春日堀遺跡１縄文時代中期～近世編.pdf || https://sitereports.nabunken.go.jp//files/attach/38/38270/72344_4_春日堀遺跡１縄文時代中期～近世編.pdf,2020,公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター 2020 『春日堀遺跡１　縄文時代中期～近世編』公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書32,,
496,FALSE,TRUE,TRUE,,PLD-31079,206,19,AMS,,-27.78,Charred Seed,炭化米,carbonized rice (Oryza sativa),"調査区：4区, 遺構：4-SD1,位置：北壁⑯",富山城跡,Toyamajoseki,富山県富山市婦中町速星754番地　婦中行政サービスセンター本館3階,36.66140956,137.159974,Toyama,Chubu,https://sitereports.nabunken.go.jp//files/attach/33/33396/36062_1_富山城跡発掘調査報告書第二分冊.pdf || https://sitereports.nabunken.go.jp//files/attach/33/33397/36062_2_富山城跡発掘調査報告書第二分冊.pdf || https://sitereports.nabunken.go.jp//files/attach/33/33398/36062_3_富山城跡発掘調査報告書第二分冊.pdf || https://sitereports.nabunken.go.jp//files/attach/33/33399/36062_4_富山城跡発掘調査報告書第二分冊.pdf,2018,北陸航測株式会社 2018 『富山市埋蔵文化財調査報告93：富山城跡発掘調査報告書　第二分冊2』富山市教育委員会埋蔵文化財センター,,
497,FALSE,TRUE,TRUE,,PLD-25352,499,16,AMS,-25.68,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,境関館遺跡,Sakaizekidateiseki,青森県青森市大字新城字天田内152-15,40.620555,140.508611,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
498,FALSE,TRUE,TRUE,,PLD-25353,1144,18,AMS,-26.5,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,隠川(４)遺跡,Kakuregawa(4)iseki,青森県五所川原市大字持子沢字隠川616ほか,40.750833,140.54305,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
499,FALSE,TRUE,TRUE,,PLD-25354,435,19,AMS,-28.56,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,砂沢平遺跡,Sunazawataiiseki,青森県南津軽郡大鰐町大字長峰字砂沢平126-1/126-2,40.510277,140.61277,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
500,FALSE,TRUE,TRUE,,PLD-25355,1138,20,AMS,-26.71,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,大平遺跡,Oodaiiseki,青森県南津軽郡大鰐町大字長峰字杉浦平74,40.514722,140.60916,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
501,FALSE,TRUE,TRUE,,PLD-25356,963,19,AMS,-27.57,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,前川遺跡C区,Maekawaiseki,青森県南津軽郡田舎館村大字田舎舘字前川201-1ほか,40.629444,140.543888,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
502,FALSE,TRUE,TRUE,,PLD-25357,639,19,AMS,-26.73,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,前川遺跡CI区,Maekawaiseki,青森県南津軽郡田舎館村大字田舎舘字前川201-1ほか,40.629444,140.543888,Aomori,Tohoku,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
503,FALSE,TRUE,TRUE,,PLD-25358,1893,18,AMS,-25.61,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,橋原遺跡,Hashihara,〒394-0045 長野県岡谷市川岸東１丁目５,36.0537661,138.0391061,Nagano,Chubu,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
504,FALSE,TRUE,TRUE,,PLD-25359,1940,17,AMS,-23.33,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,榎田遺跡,Enokidaiseki,長野県長野市若穂綿内,36.6198,138.2719,Nagano,Chubu,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
505,FALSE,TRUE,TRUE,,PLD-25360,2125,18,AMS,-25.87,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,小塚遺跡IV,Kurokawakozukaiseki,群馬県富岡市黒川字小塚,36.205833,138.869444,Gunma,Kanto,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
506,FALSE,TRUE,TRUE,,PLD-25361,292,16,AMS,-23.37,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,行幸田西遺跡,Miyukidanishiiseki,,36.482,138.999,Gunma,Kanto,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
507,FALSE,TRUE,TRUE,,PLD-25362,2140,17,AMS,-27.03,,Seed,出土米,carbonized seed/nuts rice (Oryza sativa),,平梨平遺跡,Hiranashidairaiseki,,36.644,138.1759,Nagano,Chubu,Tanaka and Kamijo 2014,2014,"Tanaka, K., Kamijo, N. (Eds.), 2014. Ancient rice in Japan I. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
508,FALSE,TRUE,TRUE,,PLD-27262,2274,20,AMS,-25.34,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),第１１号袋状竪穴,板付遺跡,Itazukeiseki,福岡県福岡市博多区板付5丁目4-4ほか,33.563888,130.451944,Fukuoka,Kyushu,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
509,FALSE,TRUE,TRUE,,PLD-27263,879,20,AMS,-31.62,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,亀ケ岡遺跡,Kamegaokaiseki,,40.88490014,140.3395593,Aomori,Tohoku,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
510,FALSE,TRUE,TRUE,,PLD-27264,1989,20,AMS,-26.32,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,佐原泉遺跡,Saharaizumiiseki,,35.24,139.671,Kanagawa,Kanto,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
511,FALSE,TRUE,TRUE,,PLD-27265,625,20,AMS,-23.49,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,金沢柵阯,Kanazawanozakuato,秋田県横手市金沢字安本館ほか,39.37319,140.5775,Akita,Tohoku,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
512,FALSE,TRUE,TRUE,,PLD-27266,2010,20,AMS,-25.44,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,天王山遺跡,Tennoyamaiseki,白河市久田野豆柄山ほか,37.1281,140.2536,Fukushima,Tohoku,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
513,FALSE,TRUE,TRUE,,PLD-27267,368,19,AMS,-24.69,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,槻沢遺跡,Tsukinokizawaiseki,栃木県那須郡西那須野町大字槻沢,36.9031,139.98,Tochigi,Kanto,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
514,FALSE,TRUE,TRUE,,PLD-27268,2014,19,AMS,-28.2,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,唐古・鍵遺跡,Karakokagiiseki,奈良県磯城郡田原本町,34.5712,135.7987,Nara,Kansai,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
515,FALSE,TRUE,TRUE,,PLD-27269,2165,20,AMS,-25.61,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,垂柳遺跡,Tareyanagiiseki,青森県南津軽郡田舎館村大字垂柳字松立,40.633583,140.5682,Aomori,Tohoku,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
516,FALSE,TRUE,TRUE,,PLD-27270,1311,19,AMS,-25.53,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,基肄城跡,Kiijoato,,33.44339,130.5085,Saga,Kyushu,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
517,FALSE,TRUE,TRUE,,PLD-27271,1586,19,AMS,-28.42,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,梅坂炭化米遺跡,Umesakatankamaiiseki,佐賀県鳥栖市今町字梅坂、柚比町字大久保,33.4039,130.5192,Saga,Kyushu,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
518,FALSE,TRUE,TRUE,,PLD-27272,1917,20,AMS,-26.34,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,大場富士塚遺跡,Obafujitsukaiseki,,35.5672,139.53763,Kanagawa,Kanto,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
519,FALSE,TRUE,TRUE,,PLD-27273,1241,20,AMS,-23.5,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,手宮洞窟,Temiyadoukutsu,,43.2121,141.002,Hokkaido,Hokkaido,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
520,FALSE,TRUE,TRUE,,PLD-27274,2077,20,AMS,-27.29,,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),,吉田遺跡,Yoshidaiseki,,33.22,130.557,Fukuoka,Kyushu,Tanaka et al 2015,2015,"Tanaka, K., Sato, Y.-I., Kamijo, N. (Eds.), 2015. Ancient rice in Japan II. Research Center for Archaeology of Northern Japan, Hirosaki University, Hirosaki (in Japanese).",,
